tokenizer,coverage
cl100k_base,0.11214953271028037
gpt2,0.11214953271028037
grammar,0.14018691588785046
mistral,0.11214953271028037
o200k_base,0.11214953271028037
pgn_tokenizer,0.7476635514018691
