tokenizer,unique_units,word_initial_single,word_initial_coverage,bare_marker_single,bare_marker_coverage
gpt2,91,12,0.13186813186813187,12,0.13186813186813187
cl100k_base,91,12,0.13186813186813187,12,0.13186813186813187
o200k_base,91,12,0.13186813186813187,12,0.13186813186813187
mistral,91,12,0.13186813186813187,12,0.13186813186813187
pgn_tokenizer,91,60,0.6593406593406593,64,0.7032967032967034
grammar,91,14,0.15384615384615385,14,0.15384615384615385
