seed,tokenizer,notation,units,fertility,tokens_per_char,split_rate,unk_unit_rate
42,gpt2,san,532673,2.758183726226034,0.8791321232284489,1.0,0.0
42,gpt2,uci,532673,4.0023729379938535,1.0,1.0,0.0
42,gpt2,fen,49674,47.46678342795023,0.8266745061494011,1.0,0.0
7,gpt2,san,533358,2.760292336479438,0.878750835641295,1.0,0.0
7,gpt2,uci,533358,4.002405513744989,1.0,1.0,0.0
7,gpt2,fen,49806,47.381700999879534,0.8264820352832773,1.0,0.0
2024,gpt2,san,533285,2.759299436511434,0.8789083685137269,1.0,0.0
2024,gpt2,uci,533285,4.002437720918458,1.0,1.0,0.0
2024,gpt2,fen,49755,47.41726459652296,0.826486136168573,1.0,0.0
42,cl100k_base,san,532673,2.6323485515503884,0.8390239378173234,1.0,0.0
42,cl100k_base,uci,532673,4.0023729379938535,1.0,1.0,0.0
42,cl100k_base,fen,49674,46.82030841083867,0.8154155925067728,1.0,0.0
7,cl100k_base,san,533358,2.634870012261933,0.8388221039060262,1.0,0.0
7,cl100k_base,uci,533358,4.002405513744989,1.0,1.0,0.0
7,cl100k_base,fen,49806,46.72378829859856,0.8150060220351502,1.0,0.0
2024,cl100k_base,san,533285,2.6340830887799207,0.839023717199808,1.0,0.0
2024,cl100k_base,uci,533285,4.002437720918458,1.0,1.0,0.0
2024,cl100k_base,fen,49755,46.76508893578535,0.8151186701932003,1.0,0.0
42,o200k_base,san,532673,2.5661953956742694,0.8179385533193115,1.0,0.0
42,o200k_base,uci,532673,4.0023729379938535,1.0,1.0,0.0
42,o200k_base,fen,49674,47.07929701654789,0.819926099902918,1.0,0.0
7,o200k_base,san,533358,2.568021853989253,0.8175407076687995,1.0,0.0
7,o200k_base,uci,533358,4.002405513744989,1.0,1.0,0.0
7,o200k_base,fen,49806,46.977472593663414,0.8194310533886074,1.0,0.0
2024,o200k_base,san,533285,2.566957630535267,0.8176425194179049,1.0,0.0
2024,o200k_base,uci,533285,4.002437720918458,1.0,1.0,0.0
2024,o200k_base,fen,49755,47.02767561049141,0.8196955737331628,1.0,0.0
42,mistral,san,532673,2.7799212650162484,0.886060656831448,1.0,0.0
42,mistral,uci,532673,4.0023729379938535,1.0,1.0,0.0
42,mistral,fen,49674,50.96354229576841,0.8875735433585452,1.0,0.0
7,mistral,san,533358,2.7827181742844393,0.8858901967338363,1.0,0.0
7,mistral,uci,533358,4.002405513744989,1.0,1.0,0.0
7,mistral,fen,49806,50.87493474681765,0.8874147345313897,1.0,0.0
2024,mistral,san,533285,2.7807326288944934,0.8857353956569834,1.0,0.0
2024,mistral,uci,533285,4.002437720918458,1.0,1.0,0.0
2024,mistral,fen,49755,50.91074263893076,0.887377695258447,1.0,0.0
42,pgn_tokenizer,san,532673,1.089861885246671,0.3473780894623939,0.08451338813868921,0.0
42,pgn_tokenizer,uci,532673,2.302797401032153,0.5753580280268449,1.0,0.0023091089655379567
42,pgn_tokenizer,fen,49674,49.73563634899545,0.866188514316347,1.0,1.0
7,pgn_tokenizer,san,533358,1.0907476779198961,0.34724417438640054,0.08536292696462788,0.0
7,pgn_tokenizer,uci,533358,2.303072232909228,0.5754220118376457,1.0,0.002343641606575696
7,pgn_tokenizer,fen,49806,49.63399991968839,0.8657690291232554,1.0,1.0
2024,pgn_tokenizer,san,533285,1.0904638232839852,0.34734098342639114,0.08508583590387879,0.0
2024,pgn_tokenizer,uci,533285,2.3037362761000217,0.5755832911677068,1.0,0.002370214800716315
2024,pgn_tokenizer,fen,49755,49.68437342980605,0.866001996812107,1.0,1.0
42,grammar,san,532673,3.082527178963454,0.9825120197701659,0.9766085384466643,0.0
42,grammar,uci,532673,4.0023729379938535,1.0,1.0,0.0
42,grammar,fen,49674,57.41895156419857,1.0,1.0,0.0
7,grammar,san,533358,3.086992226609519,0.9827571387642059,0.9768316965340353,0.0
7,grammar,uci,533358,4.002405513744989,1.0,1.0,0.0
7,grammar,fen,49806,57.329377986587964,1.0,1.0,0.0
2024,grammar,san,533285,3.0850558331848825,0.982670221738019,0.9767066390391629,0.0
2024,grammar,uci,533285,4.002437720918458,1.0,1.0,0.0
2024,grammar,fen,49755,57.372123404682945,1.0,1.0,0.0
