tokenizer,notation,fertility,fertility_lo,fertility_hi,tpc,tpc_lo,tpc_hi
gpt2,san,2.758183726226034,2.7559872669881424,2.760320810758201,0.8791321232284489,0.8786778139366769,0.8796000574923802
gpt2,uci,4.0023729379938535,4.002228132088344,4.002514478754269,1.0,1.0,1.0
gpt2,fen,47.46678342795023,47.349305100941464,47.58646068379987,0.8266745061494011,0.8263414485413059,0.8270106023997081
cl100k_base,san,2.6323485515503884,2.630159876043729,2.6344339281457976,0.8390239378173234,0.8385656435245873,0.8394498665346743
cl100k_base,uci,4.0023729379938535,4.002228132088344,4.002514478754269,1.0,1.0,1.0
cl100k_base,fen,46.82030841083867,46.71595977930147,46.92329143880442,0.8154155925067728,0.8148966487583004,0.8159140956402174
o200k_base,san,2.5661953956742694,2.5637692256409954,2.568655288714073,0.8179385533193115,0.8174659442967342,0.8184511021143546
o200k_base,uci,4.0023729379938535,4.002228132088344,4.002514478754269,1.0,1.0,1.0
o200k_base,fen,47.07929701654789,46.97504072386712,47.18221722157431,0.819926099902918,0.8194420031103157,0.8203939757079152
mistral,san,2.7799212650162484,2.777799863331883,2.7820664017629224,0.886060656831448,0.8856412857253849,0.8864913024260613
mistral,uci,4.0023729379938535,4.002228132088344,4.002514478754269,1.0,1.0,1.0
mistral,fen,50.96354229576841,50.85055769320268,51.079549566979985,0.8875735433585452,0.8871462810996892,0.8879819578237844
pgn_tokenizer,san,1.089861885246671,1.0884992505675752,1.0911894401458346,0.3473780894623939,0.3470091391849444,0.34771659894481105
pgn_tokenizer,uci,2.302797401032153,2.3013047043054584,2.3041142570206317,0.5753580280268449,0.5749809596940187,0.5756791631062441
pgn_tokenizer,fen,49.73563634899545,49.622087769609436,49.85191024317785,0.866188514316347,0.8655659242182087,0.866774741333221
grammar,san,3.082527178963454,3.0803454946527538,3.0848976621971556,0.9825120197701659,0.9822826186129614,0.9827359894869753
grammar,uci,4.0023729379938535,4.002228132088344,4.002514478754269,1.0,1.0,1.0
grammar,fen,57.41895156419857,57.27821656908065,57.564195417094744,1.0,1.0,1.0
